Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Falls under,Comment on area/Location,Classified area,Due to fenceless border I put them under,Alive/dead,Area,Movement,Sex,Human presence,link
327,latest Sightings-Kruger,Raymond,Facebook,Winter,20/8/2016,morning,South Africa,Mpumalanga,Kruger National Park,,Phabeni gate,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,dead branch,foraging,,,https://web.facebook.com/photo?fbid=1178992625504398&set=bc.AbrPOkQJu1vhIOjEM2ha_oTLLWtONnAgYObIOn29JbfbWnw6HfqhSo6jHgl5CDKUYt8_GgpcaCAs_8ALFJLidueHLH6kaToJl7LMounES8c_J11SHSo6XXONg2s1gJlNvgXDdt98aNpDgo8gCJr3jXD0LsOa0DnfD-CRtVpqXuioKjIod6Ley6D4BUO5Q1Fcb00&opaqueCursor=AbrAcI0bBYlwDkZIN_5ebXnL-_bMigeAXH_cOl26ey82JgZBG8YyeHTxztX09edreeZIiyfcrr69AJ1u-6GIWTKh2tm3KPU22wqM7m5FAYmBr__mU2h9Na1IxgFa1qjYsQkGGsYaAPIaUmEtpi3L1pcslYJnslfODGX9xb2pEZiS8uDKxlIDmCeslPlymyWkj9YHogaLaAAqjFNaWz2UAyScesmyy-7mnsaMOW6NVyBKZLz-ZISKVbQvWrmNpBZ8LxQO4FS3M_qKm7dBVLpSb761OskUTg1LcUjAY9njN3q5iQFZ3jClPrgw17RefXyKUsUEP0pxRtu36mPFdkaFBtpMHHq5Zqn8RWcwyq-1LVE6GZo5MLU2xLry14AmQoWOVsOBIdExwT9dRvkOpX3WI6g5nmZ8B6aX8kTNF0vnTZC-iBxT_KpZ-0MRwa46Fyz_QgJmdfpoGYtcr9LJfmg_Ng66tmLKPukgCAENYDsxEs9C9g
328,latest Sightings-Kruger,Francis,Facebook,Winter,28/8/2016,morning,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=1187733347963659&set=bc.AbqQqgaal22CWfPZx93KoBfm9B7Ur3cXrS0XGEmv0Fhyn4QUBhUomaa3OIWdb91ac4Xp2AZiluPBX0vRMmBwKAtMSGXPEBMGTZtPLx0KdobtGv3FBotAlCCU1yQTE-2RaGAaM9LBPLE8GrNQ8R-gkPsedPTtjkPQBZ6pcxSM_qG1ETRf-0iRhAvI6cIfKBR1A7A&opaqueCursor=Abp0hu3oUDcf4ER-YbMkkiy5qxW2K69THWuY43nIQANy3S-6PzQVnC98NRn23rfl2Sg5T3TbsQe3dvLzrISSz1HIhD1AXPQSyEn7NWV14F_p32u522cetD9a_2BFP9ar8EzbvDvZR_oDVTt-pMjUM-x3IEpw2IN7AHEv5-Sfof95MVdT636UVav_vMU_w6-xT0RIkJ_5clCFt-bwb5a2FioKJEifiGvTa6XhOxGguuVWHENgjjjdXPp3s3_Ja_NBb_e04ScHuoVWyBFDHIzhakTfeTtjRS-gLepdhlzWeBE9waUICOx8EfFsxGjgbR07lS-FK5dGbsS45vq8sB-7JizUj0h3ErcrBFdmCpiPCf-XuXMvcrPpmJasURd8laTEQkO7IRc_D-KwdQB6r-ky8Y3BMQYPqULpP4oA5jzFPqK3Q7lheERYYf7C2WJ0DGvEQVUKl8QHE1TlCN-trQp7csOV5iu-4MhVCcU6jjnFpWrcVZll8ipVwVXzJJTe3tEER9s
329,latest Sightings-Kruger,Wayne,Facebook,Summer,22/12/2018,morning,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=3775366912533610&set=basw.Abok8B8U_ef0nZW56PUdj3jBiWuX0lxTftdkTldhSsO53k4jR-uBRCUKi0X_oo4mkjJQxHC0pwj355LEBGYKumPJsQEdMEqgwXugsQZCOx4aZIDZ-mMSQV7ByRs7_hYs0f5LTVAcGbwPHrImc3W1C8Kvd9M6PQONleOKUqGZBowFQRpbjDbBBhotZptOptlnunE&opaqueCursor=Abr9cYLrM8RgtyccZ1lQ5XH5_pD8ySshZAbIaDylaxEb5A5HpTPXEq0lOrkS22e-qy9VyeNPGS9Q4QNTNVIvS5jyNAlnZ7SPjadTd3X8Bqt_JI6IU35APvDOSk0UT9o1nFMdMnw3LZxzFc-QyhI53_2tqtkD2aMTdeu4puU8WCoeBdmLrM1YMg1Ag3Yz04o5FbiC7Hiod822QOf-tVlge8AoptFyixy1_QnFp22J5EJM6Jkr_7R1paRIwFdg9laziNt6wiqaSmMIOwmFE7VvjMA3pc58VECn_0UG2u1gVSSbm4Gvid68cjvTijZ6BUK-JWE1MRx4SY3W5C33OkjYAJ-7x4mn7R-bddQ0iU_iXAZd9gh81A2q_1-nkPuurqnbmcuViQlzaZMXVsMKUQqYgh-2H7YFor7deBUQ47whSyulE_nSUkI3JPvBYgu6cupB49MHlbRJoH56SQalTq2dpc59b-kKeN0JkNdl2xmNenQ2w3hRF37m_ZfVY0cMynVBM3NypjGgzS8ps-3bIs-QZ3uutBJguPcokwj_1jCts6bkU5cKFQJYPH-Lq2NUsksbEvWp7O1IknMWkqImrWbBIzBgFzawbKXjCtj2KjYss8529t0QPooKi2r4KY6UX3Lr-oE9RWgaJXuRj479D6U43SU5N3fUX2VNlYMSHOvK5jt33lHLjS4YpeueBBEHgKOOBipLDbd-X7yKNiojO3p61UoOP5S4PzzKU_dKK9KL_xOe-qwIVO3BGDWYKXJm5jLAVW-fp-NpRtebwGhSnoOarUHb6YUHly50md38UgiB-7RzBTp6i0j9xgKQgEg74WydMQeTRZ-fo7Hfp6D7iC9HHvGpPfDjWAILesOCs_Dpw70MlhN32dIIgoRT0QyC2hx5dGMCNlK-kQ57GtVy_JNiMUQAMARJ4H6uGae_gkuqpQ1DV9xIAa0W3trfIDe5AccGQ_fJ3x1j0s0eJfYQ5M1tXP7Jt0SgOsSjUcuwIkaDeJHKPE-lcLNyKilx0Eo_1apEwqM0iwxZGV6l-u3YKkUxsjaSu68XUP_lrs6cwVaxxcpMKgm5MhgPK2EYWSPZApR3vW6Ocf5WwoyV-qMEPMMgWzjUPgcGQrxU9J9XVcmfD1bnj2WGInJ3WqnDErFpzlORMIOL9BlMSMKhNwFEkT1CDtitx5oJI6eipCFoprkhtbvNXKBBuD_G__pmgKUIIxvHn0VZNwapeY7hisF7zC2wiqnatVfCJaWfVuKZ1e7ZAuI8nxLOEmzCXE1iqreewAKpFrnh5H9mFU1i0S2SNRACd8q-i1AGSR7j_inXS03C8Si2WN8vcoKZKh6eeyqnU85aP-eTWYXZkJGM78O7_imDZJ862uOjVlM4VgnBJEwxfqgwEV8rn8pgohS6xwBJkuIqU8e9fvPgqnvuIb2cqEja2BHV
330,latest Sightings-Kruger,Trevor McCall,Facebook,Winter,23/8/2017,morning,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo/?fbid=1661364710600518&set=bc.Abo9SJvChWOhyq_ldpM0mMqzIX7oWo14TmP2zIIwD48VoYsxfsGOe3Q3ZhjmOHoXJhHOxjZt-elIcyQ4fp1H77e-j5OYwNTAEf0m68qTmzuZYHXbNT3gGo5bsRlRO1ilcUFx6PWmcoHZryPc_xdLgUDmOQvMCV5d5ZLm593bNVWKDigJDB69YSQ5ip5bnigvV14&opaqueCursor=AbpwfOV5YI48SRg6u6Ew-MRzd22HSp6kZiCbCwtkX9EK4iOvq1ZkMKYqmd5JRccstsmIuCM_J0duIwxsSAwOjCVxUvyYrf2zI7Q2IroQx_JTfL4mjgQ5AQYAgz_kucud6litu8ByXGfoC2K_St5PsXk2e8rV0gF9kRDPLClJbnFQVNcuaq0z7LLJBhFWpr4xhCCIcGpBhKs4HWYMKgnvfy7UhuWgqlpwgXiJTr68fZivOQog9oeJBpUq67zqwP5_SdolI5XpO5gj_2xrXFi89VpgNVhaLjadC3K5MYYyCixbOZKd3_UK6b2PxMNmCaCMTjtbie5bl8LfKGj24JmXwCPOFHIHKvjZjuO0pr47ZWCQzoPpA4RMTa_VHt8a299UnxTAtOgSTuxj_0bQvctoxgJM5HGfNv4wmz_eEe0JS0Kw_Ii6ZALW0Da6rr4JgbwHubgmio3WyhwpfxgNz-NIcr3q7ReZvM94_f63F0YiyjXQdc0Fq1n2I9VTUP-zS1icoWg
331,latest Sightings-Kruger,Jeroen,Facebook,Spring,12/11/2016,morning,South Africa,Mpumalanga,Kruger National Park,,near Talamati,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo/?fbid=1270603763009950&set=bc.AbpqTLSfovWpkVzCScDZTlWoo7rICLBC_PpHuNIb9v1SucFdrPlVqPCym3rDE8lo4cpJVbWAN9hkS-OB6k7Q4Jt76isWNvkGOKHeHpZ2UivJUC6vNTy_dwGnKnlnQ-yTcEgtiopiYugqVRtCY1S-Vma2E1Pyb8CXlSfi_3asrTo9X5reirWaZP9GyI6HtGPCvZg&opaqueCursor=AbrAdVdBUByYZSGdSegD8BJuLTF5tdOpih_tz7zoWFXjVBYMwChJ_NT6vMJUoqrtzFWGYIosZmJW7PrrO7pboOaf2k2-RE7peRlvXQN1856qVeVu_o2q2hWI9q7TbZ905EPGM7Vqs75I09i1GHDXyfKfbDPRo_k00roYRdl3eTu8_CoBgevRmLTT4gieHjaKoTVc9hkI_shhPIMS-cVAajH4kSb6bGSRh30orqo3O1SIrux0jGGNBLCa5VVR5H882D6ZR4I76_265q9wBxr6wimk4DIFsFKBkguQOV1p4FnInFVQXMaNGirFbMGABq9W_0Vch2f9ZDDurfkYo_-VdYpz0RDR7gz9LSZSt39aVyuokNFfy2JyhlQ3VXNXQ-zifJuqnDxVc0ucO_vWkSv-tkklP-LrmBs2PfkH6-UJetqcO8pGiw8R4KQ_Vpa7K84pyrH3B3zXM4_eAfb7tfSTZ7idfxLFClUZiG3l_AWb6YOQQA
332,latest Sightings-Kruger,Vongani,Facebook,Autumn,15/4/2017,morning,South Africa,Mpumalanga,Kruger National Park,,near Talamati,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,curled,,,https://web.facebook.com/photo/?fbid=1481608978576093&set=bc.Abqn7CQKW5-V4A9y5JnVxbSEvKPTST1soX_htQfF-n9XRgspBUj7-q24W3o-hg7oRm4yMz2QxybK5K7SyyMXVdyIBUYgwVN36eEE_G7uPOSUcvk8PZZi2_Z6-6hIZ0jCndN4BORHpigbT3D2CE22dCWasB5yEli3SKUeXtpbRNdoT1ZisnL6yCOtY8YPq87JIFs&opaqueCursor=AbrtZyn1AVCqVCp9HaVzWD1xs8L8iKS3l7daKsH_IrTj4pmQ7kt4Zw_soB-PS3i_V90OHEU_op8STvtJ7t1OMDrpE5mu5Kc58-DFHPS4B77g2zy01uPScKnvlEhb5bL7lPx5F3n0vBSoFM70vwPG08JR7Mhmhbec1FwC6cgkKeZuceNc1UmoxbgG5vrIjhHx1Nk-vsSFSyPexsM2Tf2anALXZMRfHYkqtrdB6a4os88K56jXWJWLFE4N4-F9-AcgUQfrTpUEh72s6be2UEQ0qLAIULNpXaXCkkAbZQMjkATM31hcAQxu45HBd1q8D8vSZQadB1aIBit4p_tb64IyY7bgGr8OKFfyBCARG0smkjNude2gEkXNDVOXVTWFIA5ptqsF9B1uCvR-mbrzPpblIBE0GtvSvRIKqAFtD-X-rvzAfwpIeGDRBbPIleRqrb83W4-eR9wxB9BpgAzhPVlir84er7O3ASuLadBJnDOcyZ5jXw
333,latest Sightings-Kruger,Katherine,Facebook,Spring,17/9/2018,morning,South Africa,Mpumalanga,Kruger National Park,,near Crocodile Bridge,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo/?fbid=2254639844606332&set=bc.AbpcbT5_7HS3OaMnsz4oiYfeg0FOVuquCljWvmGahCErgENzK1OpO6NCzMLkDNMBmIcw51W9fev7VVkuYLIoEAPWGraG-y9T5jzWpOokj5CxUJwcu0xGYAW0eMcRQDXwB4KROzd8XaQzff86UQsc8lH4NYP98Usv2tR64a996o-gYS7UwROXZWRWHEorX6CncMI&opaqueCursor=AboHI4dHh99bnXiVBQaS58IhwNWdpmkMUQVOABIEn09BjlPPnEactDlpCk_2zcxshtQLb_gfNoUIU3qAvEEbWMQiE7BPFTZ1fbM0wb4A97yX-wctw15Llp4woaxqCd_YAxz7NIkjvATLW7YsXcyYdJaND1Draxd49G2jfU1ncm33nh44XgauBi2c8PsrY38CnlfAE_Xtj1SxZf92pO29wE2e1A7ky119vP-RN-mnWghncnNVzm1HJYs72e5PfRy0BtmOGR-mp4ommze0meTV2Tjt69RaWBJF0ABbztMVHD0IyXJVsR-losiX4ysnV-7Y3wP_tyg2UnAEoq4fQsD3wEPpI5JwawqOmhY7gtQ-k0j-awRAU3YKXk3BYHvfnP5l_E2AdYt4byeM0UQoM64G9T-6xkHkgOZpdLyMuiOkCdbX2TMMhh3skbw1ax_BkEJz82ncJ0wYW-hj6S1C092DnW23rAWCgNWbOZgAXue_09X_R8AYBwmYaGC8apBcNDHJQODx7XfeBlcD6AYXogwlQWGCHvotyMMr05LEjTOwapel2x_JR59i66NHmCYR7pWBSLJZl5Gobw5NgbymS4jRSTmWjPNA_fzHfe2D--RbB22_CQ
334,Jordan Ashley Ralph Photography,Jordan Ralph,Facebook,Summer,30/1/2015,evening,South Africa,Mpumalanga,Kruger National Park,,Punda Maria Campsite,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,road,walking,,,https://web.facebook.com/photo?fbid=1585081458418517&set=bc.Abp87GRAthE3wKmKeiSdk81jfRUrd43RLjQsfB_EGQc94idOjXiFyIuqa1aMMqy-14zI25NkbjPVtkjynw5kbN2rC9oSsPvSppn9DZCpz_io9QqMQIAkpFZpEJWou00V9NoO_bxu4fAhRd7qr0zzsiE1QIxqc5cAqpjPKCC4ZShN2nkSOtDtBTTkd96EeKyZupo&opaqueCursor=AbokG7p8W2EmirYdRhgQX4WB9qD1kfdHR5EWRzcANCUiq0PqtnOsZVpLtRTgR-BzccqmdaFUhsq__Zn6wb3zOsokfv2Fi7Ra5fEm_DRXPgSrLWxOI43s-0WXDesf1PFkwUIcGFh0ph4YlJ1v_V3ztG7ffwWUIW2Cu_R-NRajBIuyHDnnvCA4OLNVz4jX8K-i95e9V3NO-5JtoGZ9Oi7mRM0cnOdaH7CCZB5gY6T386oYgkSRY8ywBigFPcOzmpB-ZBVcbLRnjbe694iuVpwY4rRo58D1DDxJMYlgRI_koW3CcvsBZSeyC45JuZ9hU_fh6oV02m6H2UTO7PQ1UN2kISoOTVV0_CdPiPAFU8dvN63YfZ1XJbwxB7FTL__4fTGIaHnMpRTrXu7tEVHGZixwp0NiAleuV8LwJmm5lQ0QgJrGZJjkwkyX7X7gHp5pJcyFlxa6YCuIgtX51YLaWgoaTlnwxz_82llPeMRW-BUf4RDpAe4hd5x3WlkjLixDqkIG-1k
335,latest Sightings-Kruger,Arno Pietersen,Facebook,Winter,22/7/2015,morning,South Africa,Mpumalanga,Kruger National Park,,H11,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=919884158081914&set=bc.AboTubC66vGDZKRRDCdLfHh2X_U1O8YwwVGbBHPoVJ_f3sJL-6x_HS_Zw5XFeSlGnXIOqG9ISWJYNavmcLE3A4EU7ikJHVln5ry9aXgQ72XAR5B6RuEeT3ZSwegTce7Y1DONSjq46Iwy33dPYzeHnw2BGXFVNurX6esxe1QCjMiZMYxqze-Z7KnEL_Z0yHkStFA&opaqueCursor=AbqmCN7Aru81xMggIs-Ibns_BVU3zgqFWE-297j3O08n5PpaSJz4XB7PZuiTncLygPwPk2nLrD8RguAwxHfH9_yYIdAvzfFYN5SMhpTMnEfNzzdYgIB3yZwt-O5g4xJ7QHd45QpBdSu2r3Qe6ReoVK1PF3tTEMhfAxXDCn3chr2UQ8tTZ59xHipGrwpVkziPTgXUk5pLsTcz2p1AO2pynaBARiPSeHi6df3Oyi0AfLElGUjr1Oq2YlWireusct78Ba6Aj0rqA2k3BFpSEnM2uQvNo9o399h6fNIuE54HGpQsj5WiN-WHOb4RVX-Yz848VZOqoaA3gC1VqVPjHLNDARleHWvXukxSpuSor_O5T8cUceWDG372D5NScHzi0WEjtk8_eShlunrrD_kRjMqeJ6JDA4cJiAf7ZqigQd9ORvRrMCWaOtUvr_kdEWW9rLS6bKEpbAGLgXrznJ7juSGw3Nkbtdbe14pMICwg-RaypKj4xH1eGWlYjfU7deBEKJtgkt0
336,Ihappie Panther Tsanga,,Facebook,Autumn,4/5/2017,morning,South Africa,Mpumalanga,Kruger National Park,,Orpen gate,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,road,walking,,,https://web.facebook.com/photo?fbid=1508296219241774&set=bc.AbqbAlbAn20-46peY6Rr2aceyzAu7IoBeVvF6WUQpuV9Xc44iDa8pyyyrdq3XF5EmVP8EueBUtizpqNBSYEuL2IayAkvxI121sx4OGcTf9gh8Q9450cNupODrG6WOrEgx0fjnTebyzPvvL1BHIYVoCjex4bXAK0OoGYFTq86kI5Vq19xjaN0xoYu7m11pCN7Ac4&opaqueCursor=AbojSjB8rt4AdooCUzfSkzYAHUsLVllRfYKVFlboKwh1MfBjMVPo7QnPsmxJJ7mS5fGQIR0Z03RXGiM5VkxLo3XRyuxgHSoTFTmdM83PZrGl8TCZeMUDpot69ZHPNjgoEyYGcNhJSZWpkZRO95fIhpVafR5rCu_GetPs6u9Ox9UGbotznoqSkfkGx0G0rHaecFin9x7elE90fNbxkgF-_S2906YGqI9M8Em6rIFFXy8gMeNMH3N7O2fpGx6GTkJ4JwUld3LMUg21ehpteRFcOukjLqhneLd1zQjdNvRYxS9KNyVtPDugKrwUtSRgSKv-7_uWfrOJcG0Z4IXbNpohtes3vcAxYj4k4BUj_zEHfIjbU2xK8BOeMXC5yq83PopfBwb5lXX3VKePRZ_TaKrxB8CA0Kc05jfv_cySmaN0YDk5Bp9WsUDHuIXFm6NW0NMPYzycjMH9HT54xZh-kXoulZn-0Ts8duuFYFSc6hjHlpcxUA
337,John Kottsovos,John Kotsovos,Facebook,Summer,29/1/2015,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=10153021125714512&set=bc.Abps9FNLUqX191ICLfijbsqWQUURAUO08QjFRbToKydEAya402etnM2o3rkzAd8Cmj_Ldb_uci0I3lH2vIZ9VgdfF_nITvvtAdit310b7ka46nVkmp3CVnQnZrAR37961lXs3SJ01adRNxzlmvcVKtoeqRlqQ37QKR8rRaplNexqXlAMA1ac_1gSXj67uuyQgZw&opaqueCursor=AbqB4bDv4G9NGH2GJeyKx2Ol9kAhxuRY7O9vnEnFCQfmzUpfpgPJ8a8I2iFdXjljok_hTWX2e0qjkneAJ9hFZefIQ-dINK8bmFE2B0_5Slv7tUIVKfyzjcYQHR_EEcbS-8sDsZK4-r3WHyN9VtRObhWXB9IJhtquDfitxZfvtuLZBtsHyQwM7yAO5ZWV9wqEB68XhaY_dmKLaHZr_QjJllkfKADYk1subzdaiAEGZ1S_wwsh_S5Zwcxw6e2LIMhtp6m3dqMegK8eGF73TnBzchLI8i82N3Wc3eeT8IOU0lEZyhdAJVm3B7-Q7oy7U_6iayMNSchYIy_HFODiPYExR93zhKEWOaia5bprdO5HzFR4LDjjgTID-I7pUIVeOtUKEUCi-ZA1h6R0n74GJ3qjHTxWJBgZ-CRbazjXOvWm4CEzSXfIcNMG40Z6F60iOtAJ2sOO-F0snkIhPUKM_nPNXdBs-D_sBj1PidN8sIqcdeKBpOGRBjzIVuavxgpUXaa9H18UVGXt-E7IKYfZu5sQKVPs
338,BBC Wildlife Magazine,William Riley,Facebook,Summer,6/12/2019,morning,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,thick grass,walking,,,https://web.facebook.com/photo?fbid=2834357576583414&set=basw.AbpQ4u0nZMJISlNETSDYL16pcDkbzPlUFEjO3SDEOut2EK8DyKdu0JNsQXmqvPjgcbU1-xc-48diMNVCvq8u0GW5poOAPSowicAhVUCprrkTkBSqk23vaDNBx6G1kHTC1d5QTuy4NYT_skTGq_uy4a8ZKsgp8BOcOV2vp4QQv_U8BKgDl12wtjecJdaBrM7Kxh0&opaqueCursor=AbqHl0MdclZ0iKsAXiOQZnyS1G13e55zJJvU3cR9HewzgBLkZfhFwu0c_bQuwtSnohzE-rsAdk-3voLquEHPBCv937keG0zgqrxOJjOT_pQNJvmMun-RZ0zHi4b7Rw0D_WfPPEly3WdodXcln2uoArMiK-AdGnOLysuh5q4fjayMCBNhccwpQ9ZWGLeBWRUGgYN111JaJ5W7nw5YXvhrOm-4KwZM6JM8Q5BeMqCpKj8YlvbSTu7y8dSZH_Z-gR2GeI9exisnmAQzXJC8Gegq3RKhX_I7FnLsVorvRSwAuGqdpVedMJBxPBGSpM0NMfM-OkhKTa4iSbjOUg1NzLaq4bm9POKE8kOWeK3QxnZBbwY09k3wH3SVJL3qGJyF2rKJ8H-uf090Ui4exqt1jRlvJDl6GbM76Z1VYu4JQjw3RWEoJVOJrwmI_OrdNdTQDdCG0e3s7h_wticir1t9iuTwRybBoswvpNMPJPGFDb3C7Icb-ResxhazPqc4zkV3HlITO1KzJDFGo6zVG-g0odSanY1UZacQwSLM8ByEygHuPZ9oMBJ2d3mb9VFhkLyV-LPQhUbSBOE-WNY2ARiO9Ey9Pd5-WTJ60Nq_cn4aEkdFrRN0RUE-zwj_sb1Fj4w0xoxziBKqEq1vXCm_cUAVEZSseZgf
339,latest Sightings-Kruger,Liora,Facebook,Winter,10/7/2016,afternoon,South Africa,Mpumalanga,Kruger National Park,,Malelane gate and Berg,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,open grass,walking,,,https://web.facebook.com/photo?fbid=1140361606034167&set=bc.AbqgbTqv_NNpL_ZR2WLKtOjEGbzx8EFCGnD22gwCIp6TttrtgIfhZOiuVNtNU24LqAcP3uTbPFn2xz_EFMKTi3zipR7FN3Hi39cfVZAqo-Msup1-xk3Z14g8xDMEPZ-uPOCorPh5kl58x7Ors3y0fm04uAeQ18B9AwIZxKbWiM1fTI_o6ttfiTwWx_YCz6I19s8&opaqueCursor=Abr9xLWGZiar94FpxIlWeeia103mszlg2Hg-PPGBpNDWXex8xWnisBg28-pdN3KUp2o5Z6MhSIc8Abw5tS8wzjNcF8xe4k06RozHfGJMOWFwEd_9Dd-ErFGKi1weY1o8XyXdf-20nMoMiiASbcOiCQkmxskGvZeCQ2fyQrYXwyeXWXT29MDVRXY1a6DP7R_rVDzSIeXRlA6Fmc_ZwDNmcoSq3PI98P4P62NGDNWdUwR5GW4gLELWTfW7cvqXrdvact-L9nQibA_FKCJkpvs65nKoH84M8CVqXXWgBatt7I6eRT__jLJZWX3UBwjK76pXPNpy0yNBEHAL2g3_ba55sey7ILhFcNEeCQWpYWKwY20dLXmMXdOExpfpRvOnYbAN7eCbf8rtM2baiyh3qW6zHugDC4hSrC2PFTFIOShAkMDJoSQH225qHD-Tc2FUV7cDyuMhM0PKzuXAL2xffO6gYvMwopbmTlmN0cNY0cli4mHkOA
340,Atkinson Photography Safaris,Helena Atkinson,Facebook,Winter,22/8/2019,afternoon,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=3213627628655156&set=a.337124186305529
341,Tommy Liversage,Tommy Liversage,Facebook,Summer,6/1/2015,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,road,walking,,,https://web.facebook.com/photo?fbid=876194022430731&set=bc.AbrViIqP4CEMeZZAkKcsB_7iDtwdWC6rNoSUTViNjBw0jX74-Fl5UJ7V3BGU-v0eK5HNxMD_X-aNeW2AobE8LP3c1blsJh1VQzk9nYemlwezIlxmM2lcbpD7Eg_b738ssTNmfpexUSfGCEaRrl25Eoi7lGkJbYXyR7HANdkPeXll-WUK4vZ4IsxvoGdUOab8mwA&opaqueCursor=AboIMAWyQYJ5H07bT0r5iHJL2NgtB_rrastcHWzxbjIafLVG3W2Qp3gUMtB33xJOSX5SoHARan1NXM86J66wH7iaItfIN0PHVdHbxZP_36IEV7_FG3cIxEgK-BTauMJudYQRWss7Bm_EQwx98oV8CQC_-2-sN_1OzwI0KqSDiV94VCZNv898hM9Ce05CdKJ7pyyosC4_uOODFPF6PUKnw3Scti0FjWwnVap0675kaph2vWmaHrI_QsyAsM3aoW2h3MuelJPMh4_2vvFDVDuGYqsrdnpOphFOgkq6GxXzTkYqeOIh-Sqtx51L342ZFLSk43y04sjljcr_-Pr2rcnrIxxhdHGcjVgN_ILUQrMx2gU_iVCtFrF7lHVlfZCMvw11eSnmgB5Kwwon6URyBk2-ky5ofcLPmRw7SiGy8ycr1xjpb0pn2CykTsiQsDbfNTlKR_i6Ak6dfsgxV8REDYxOtm7xE80RmosPq8bBa1n30XADKIKfxEHdCHGMahA5-zdqqog2Ds4HtKc3S7QzNXr4DJCvchvYLuVRBYB1Mod20wrxPw
342,latestkruger,eswe,Instagram,Spring,23/10/2014,afternoon,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/uf5GHotPwL/
343,latestkruger,MosGo,Instagram,Summer,23/12/2014,afternoon,South Africa,Mpumalanga,Kruger National Park,,H3 Matjulu bridge,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/w9bW40NPyh/
344,latestkruger,Iwan,Instagram,Winter,1/6/2015,afternoon,South Africa,Mpumalanga,Kruger National Park  ,,S118,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,paused,,,https://www.instagram.com/p/3Y8IUBtP8Z/
345,latestkruger,arl_photographer1,Instagram,Winter,27/7/2015,afternoon,South Africa,Mpumalanga,Kruger National Park ,,H11,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/5p1sGttP26/
346,karen_photoblog,Karen Birkenbach,Instagram,Autumn,30/5/2018,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,lying on the grasses,,,https://www.instagram.com/p/BjaAwxTnWff/
347,kylelewin_wildlife_photography,Kyle Lewin,Instagram,Spring,1/10/2017,morning,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,burrow entrance,paused,,,https://www.instagram.com/p/BZsKMpxH2iq/
348,kylelewin_wildlife_photography,Kyle Lewin,Instagram,Winter,15/6/2018,afternoon,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/BkC6rs1BNdi/
349,kylelewin_wildlife_photography,Kyle Lewin,Instagram,Autumn,16/5/2019,morning,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,burrow entrance,digging a burrow,,,https://www.instagram.com/p/Bxg3e-yHMvp/
350,amymcmillan12,Amy McMillan,Instagram,Summer,12/12/2018,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking and feeding,,,https://www.instagram.com/p/BrR4gFeHQmm/
